Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\17 Mason's Children.flac,["17 - Mason's Children"]
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\18 That's It For The Other One.flac,["18 - That's It For The Other One >"]
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\19 Cosmic Charlie.flac,['19 - Cosmic Charlie']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\20 Uncle John's Band.flac,["20 - Uncle John's Band"]
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\21 Black Peter.flac,['21 - Black Peter']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\22 Dire Wolf.flac,['22 - Dire Wolf']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\23 Good Lovin'.flac,["23 - Good Lovin'"]
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\24 Dancin' In The Street.flac,["24 - Dancin' In The Street"]
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\25 Saint Stephen.flac,['25 - Saint Stephen >']
Z:\Grateful Dead\1970\gd1970-01-03.137559.sbd48k.t-flac16\26 In The Midnight Hour.flac,['26 - In The Midnight Hour']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d1t01.flac,['Morning Dew']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d1t02.flac,['Me & My Uncle']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d1t03.flac,['Hard to Handle']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d1t04.flac,['Cumberland Blues']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d1t05.flac,['Cold Rain & Snow']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d1t06.flac,['Alligator>']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d1t07.flac,['Drums>']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d1t08.flac,['Jam> Bid You Goodnight Jam> Jam> Alligator Jam & reprise> Caution Jam>']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d1t09.flac,['Feedback']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d1t10.flac,["Uncle John's Band"]
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t01.flac,['Casey Jones']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t02.flac,['Mama Tried']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t03.flac,['Big Boss Man']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t04.flac,['China Cat Sunflower>']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t05.flac,['I Know You Rider> High Time tease']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t06.flac,["Mason's Children"]
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t07.flac,['Cryptical Envelopment>']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t08.flac,['Drums>']
Z:\Grateful Dead\1970\gd1970-01-03.19440.sbd.ret.sbeok.flac16\gd1970-01-03new-d2t09.flac,['The Other One>']
