Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t03 Fire On The Mountain.flac,['Fire On The Mountain']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t04 Estimated Prophet.flac,['Estimated Prophet >']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t05 Eyes Of The World.flac,['Eyes Of The World >']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t06 Drums.flac,['Drums >']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t07 Space.flac,['Space >']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t08 The Wheel.flac,['The Wheel >']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t09 Not Fade Away.flac,['Not Fade Away >']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t10 Wharf Rat.flac,['Wharf Rat >']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t11 Sugar Magnolia.flac,['Sugar Magnolia']
Z:\Grateful Dead\1982\gd1982-02-17.144621.fob-nak700.streeter.miller-clugston.t-flac1648\gd1982-02-17 s2t12 (I Can't Get No) Satisfaction.flac,["(I Can't Get No) Satisfaction"]
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d1sbdt01.flac,['New Minglewood Blues']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d1sbdt02.flac,['Sugaree']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d1sbdt03.flac,['On the Road Again']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d1sbdt04.flac,['Bird Song']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d1sbdt05.flac,['CC Rider']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d1sbdt06.flac,['Tennessee Jed']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d1sbdt07.flac,["It's All Over Now"]
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d1sbdt08.flac,['Loser']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d1sbdt09.flac,['Man Smart (Women Are Smarter)']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d2sbdt01.flac,['Scarlet Begonias>']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d2sbdt02.flac,['Fire on the Mountain']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d2sbdt03.flac,['Estimated Prophet>']
Z:\Grateful Dead\1982\gd1982-02-17.23221.sbd-patched.warner.sbeok.t-flac16\gd1982-02-17d2sbdt04.flac,['Eyes of the world>']
