Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\06 Drums.flac,['Drums >']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\07 Space.flac,['Space >']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\08 I Will Take You Home.flac,['I Will Take You Home >']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\09 He's Gone.flac,["He's Gone >"]
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\10 I Need A Miracle.flac,['I Need a Miracle >']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\11 Morning Dew.flac,['Morning Dew']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\12 Encore Break.flac,['tuning']
Z:\Grateful Dead\1989\gd1989-02-05.139794.sbd.set2.miller.t-flac16\13 Johnny B Goode.flac,['Johnny B. Goode']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s1t01.flac,['tuning']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s1t02.flac,['Touch of Grey ->']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s1t03.flac,['Feel Like a Stranger ->']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s1t04.flac,["Franklin's Tower ->"]
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s1t05.flac,['Little Red Rooster']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s1t06.flac,['Althea']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s1t07.flac,["We Can Run But We Can't Hide"]
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s1t08.flac,['Desolation Row']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s1t09.flac,["Don't Ease Me In"]
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t01.flac,['Cold Rain and Snow ->']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t02.flac,['Man Smart (Women Smarter)']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t03.flac,['Standing on the Moon ->']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t04.flac,['Playing in the Band ->']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t05.flac,['Drums -> ']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t06.flac,['Space ->']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t07.flac,['I Will Take You Home ->']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t08.flac,["He's Gone ->"]
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t09.flac,['I Need a Miracle ->']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t10.flac,['Morning Dew']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t11.flac,['encore break']
Z:\Grateful Dead\1989\gd1989-02-05.140996.fob-schoepsCMC4.mattes-WeberSmall.miller-clugston.t-flac16\gd1989-02-05.s2t12.flac,['Johnny B. Goode']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d1t01.flac,['Touch of Grey >']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d1t02.flac,['Feel Like a Stranger >']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d1t03.flac,["Franklin's Tower >"]
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d1t04.flac,['Red Rooster']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d1t05.flac,['Althea']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d1t06.flac,['We Can Run']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d1t07.flac,['Desolation Row']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d1t08.flac,["Don't Ease Me In"]
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d2t01.flac,['Cold Rain & Snow >']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d2t02.flac,['Man Smart, Woman Smarter']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d2t03.flac,['Standing on the Moon >']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d2t04.flac,['Playing in the Band >']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d2t05.flac,['Drums >']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d3t01.flac,['Space >']
Z:\Grateful Dead\1989\gd1989-02-05.sbd.braverman.15402.sbeok.shnf\gd1989-02-05d3t02.flac,['I Will Take You Home >']
