Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d2t02.flac,['Drums>']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d2t03.flac,['Space>']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d2t04.flac,['The Wheel>']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d2t05.flac,['Black Peter>']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d2t06.flac,['Turn on Your Lovelight']
Z:\Grateful Dead\1985\gd1985-02-20.021917.sbd.miller.sbeok.t-flac16\gd1985-02-20d2t07.flac,['U.S. Blues']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t01.flac,['crowd/tuning']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t02.flac,['Cold Rain & Snow']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t03.flac,['Day Tripper']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t04.flac,['West L.A. Fadeaway']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t05.flac,['Mama Tried >']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t06.flac,['Big River']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t07.flac,['Tennessee Jed']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t08.flac,['Looks Like Rain>']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t09.flac,["Don't Ease Me In"]
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t10.flac,['crowd/tuning']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t11.flac,['Scarlet Begonias >']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d1t12.flac,['Fire on the Mountain']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d2t01.flac,['Playing in the Band >']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d2t02.flac,['Drums >']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d2t03.flac,['Space >']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d2t04.flac,['The Wheel >']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d2t05.flac,['Black Peter >']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d2t06.flac,['Turn on Your Lovelight']
Z:\Grateful Dead\1985\gd1985-02-20.083096.fob-senn421.mccue.sbeok.flac16\gd1985-02-20-mccue-d2t07.flac,['U.S. Blues']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d1t01.flac,['crowd/tuning']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d1t02.flac,['Bertha']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d1t03.flac,['One More Saturday Night >']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d1t04.flac,['Sugaree']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d1t05.flac,["It's All Over Now"]
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d1t06.flac,['Row Jimmy']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d1t07.flac,['Let It Grow']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d1t08.flac,['crowd/tuning']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d1t09.flac,['China Cat Sunflower >']
Z:\Grateful Dead\1985\gd1985-03-09.084027.senn421.mccue.sbeok.flac16\gd1985-03-09-mccue-d1t10.flac,['Cumberland Blues ']
