D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d2-01.flac|I'm Troubled
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d2-02.flac|The Ballad of Casey Jones
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d2-03.flac|There Ain't No Bugs on Me
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d2-04.flac|band introductions
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d2-05.flac|So What
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d2-06.flac|Rockin' Chair
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d2-07.flac|Stealin'
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d2-08.flac|Poison Glass of Wine
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d2-09.flac|Drink Up and Go Home
D:\Jerry Garcia\1994\jg1994-01-13.082760.jgdg.fob-neumannKM54.koucky.sbeok.t-flac16\jg-dg1994-01-13d2-10.flac|Arabia
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d1t01.flac|Shady Grove
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d1t02.flac|Long Black Veil
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d1t03.flac|Rosalie McFall
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d1t04.flac|Dawg's Waltz
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d1t05.flac|Freight Train
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d1t06.flac|Hot Corn, Cold Corn
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d1t07.flac|Red Rocking Chair
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d1t08.flac|Grateful Dawg
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d2t01.flac|I'm Troubled
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d2t02.flac|The Ballad of Casey Jones
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d2t03.flac|There Ain't No Bugs on Me
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d2t04.flac|So What
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d2t05.flac|Rockin' Chair
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d2t06.flac|Stealin'
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d2t07.flac|Poison Glass of Wine
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d2t08.flac|Drink Up and Go Home
D:\Jerry Garcia\1994\jg1994-01-13.094690.jgdg.schoepsMK4.litzenberger.t-flac16\jgdg1994-01-13d2t09.flac|Arabia
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.01.flac|Shady Grove 
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.02.flac|Long Black Veil 
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.03.flac|Rosa Lee McFall 
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.04.flac|Dawg's Waltz 
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.05.flac|Freight Train 
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.06.flac|Hot Corn Cold Corn 
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.07.flac|Red Rocking Chair 
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.08.flac|Grateful Dawg
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.09.flac|I'm Troubled 
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.10.flac|Ballad of Casey Jones 
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.11.flac|There Ain't No Bugs on Me
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.12.flac|Crowd
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.13.flac|So What ?
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.14.flac|Rockin' Chair
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.15.flac|Tuning
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.16.flac|Stealin' 
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.17.flac|Little Glass of Wine
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.18.flac|Drink Up and Go Home
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.19.flac|Arabia
D:\Jerry Garcia\1994\jg1994-01-13.150310.jgdg.neumannKM54.fink.stucco-waddell-gems.t-flac1648\JGDG1994-01-13.gems.20.flac|Crowd and Taper Talk
D:\Jerry Garcia\1994\jg1994-02-04.015602.jgb.neumannKM54.vasseur.connor.sbeok.t-flac16\jgb94-02-04d1t01.flac|How Sweet It Is
D:\Jerry Garcia\1994\jg1994-02-04.015602.jgb.neumannKM54.vasseur.connor.sbeok.t-flac16\jgb94-02-04d1t02.flac|Stop That Train
D:\Jerry Garcia\1994\jg1994-02-04.015602.jgb.neumannKM54.vasseur.connor.sbeok.t-flac16\jgb94-02-04d1t03.flac|You Never Can Tell
D:\Jerry Garcia\1994\jg1994-02-04.015602.jgb.neumannKM54.vasseur.connor.sbeok.t-flac16\jgb94-02-04d1t04.flac|Lay Down Sally
D:\Jerry Garcia\1994\jg1994-02-04.015602.jgb.neumannKM54.vasseur.connor.sbeok.t-flac16\jgb94-02-04d1t05.flac|Struggling Man
D:\Jerry Garcia\1994\jg1994-02-04.015602.jgb.neumannKM54.vasseur.connor.sbeok.t-flac16\jgb94-02-04d1t06.flac|My Sisters and Brothers
D:\Jerry Garcia\1994\jg1994-02-04.015602.jgb.neumannKM54.vasseur.connor.sbeok.t-flac16\jgb94-02-04d1t07.flac|Deal
D:\Jerry Garcia\1994\jg1994-02-04.015602.jgb.neumannKM54.vasseur.connor.sbeok.t-flac16\jgb94-02-04d2t01.flac|Shining Star
