D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t04.flac|Little Sadie
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t05.flac|Valerie
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t06.flac|I've Been All Around This World
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t07.flac|Run for the Roses
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t08.flac|When I  Paint My Masterpiece
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t09.flac|Jack-A-Roe
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t10.flac|Bird Song
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t11.flac|Gomorrah
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t12.flac|Ripple
D:\Jerry Garcia\1985\jg1985-08-18.013520.jgjk.fob-nak700.menke.connor.sbeok.t-flac16\jg&jk85-08-18d1t13.flac|Goodnight Irene
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr01.flac|tuning
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr02.flac|Deep Elem Blues
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr03.flac|Friend of the Devil
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr04.flac|Little Sadie
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr05.flac|Valerie
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr06.flac|I've Been All Around This World
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr07.flac|Run for the Roses
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr08.flac|tuning
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr09.flac|When I Paint My Masterpiece
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr10.flac|Jack-A-Roe
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr11.flac|Bird Song
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr12.flac|Gomorrah
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr13.flac|Ripple
D:\Jerry Garcia\1985\jg1985-08-18.088019.jgjk.nak100.holtz.GEMS.t-flac16\jgjk1985-08-18.GEMS.tr14.flac|Goodnight Irene
D:\Jerry Garcia\1985\jg1985-08-18.098629.jgjk.fob-nak700.guch-poris.russjcan.t-flac16\jgjk1985-08-18t01.flac|tuning
D:\Jerry Garcia\1985\jg1985-08-18.098629.jgjk.fob-nak700.guch-poris.russjcan.t-flac16\jgjk1985-08-18t02.flac|Deep Elem Blues
D:\Jerry Garcia\1985\jg1985-08-18.098629.jgjk.fob-nak700.guch-poris.russjcan.t-flac16\jgjk1985-08-18t03.flac|Friend of the Devil
