D:\Jerry Garcia\1975\jg1975-04-04.098391.lom.akg+sony.mcgraph.moore-berger.t-flac16\lom1975-04-04d1t04.flac|Wicked Messenger
D:\Jerry Garcia\1975\jg1975-04-04.098391.lom.akg+sony.mcgraph.moore-berger.t-flac16\lom1975-04-04d1t05.flac|Every Word You Say
D:\Jerry Garcia\1975\jg1975-04-04.098391.lom.akg+sony.mcgraph.moore-berger.t-flac16\lom1975-04-04d1t06.flac|Road Runner
D:\Jerry Garcia\1975\jg1975-04-04.124163.lom.mtx.tobin.flac16\lom1975-04-04d1t01.flac|The Harder They Come
D:\Jerry Garcia\1975\jg1975-04-04.124163.lom.mtx.tobin.flac16\lom1975-04-04d1t02.flac|The Harder They Come
D:\Jerry Garcia\1975\jg1975-04-04.124163.lom.mtx.tobin.flac16\lom1975-04-04d1t03.flac|The Harder They Come
D:\Jerry Garcia\1975\jg1975-04-04.124163.lom.mtx.tobin.flac16\lom1975-04-04d1t04.flac|The Harder They Come
D:\Jerry Garcia\1975\jg1975-04-04.124163.lom.mtx.tobin.flac16\lom1975-04-04d1t05.flac|The Harder They Come
D:\Jerry Garcia\1975\jg1975-04-05.010977.lom.early.sbd.partial.jupille.sbeok.t-flac16\lom1975-04-05at01.flac|Mississippi Moon
D:\Jerry Garcia\1975\jg1975-04-05.010977.lom.early.sbd.partial.jupille.sbeok.t-flac16\lom1975-04-05at02.flac|I Second That Emotion
D:\Jerry Garcia\1975\jg1975-04-05.010977.lom.early.sbd.partial.jupille.sbeok.t-flac16\lom1975-04-05at03.flac|The Night They Drove Old Dixie Down
D:\Jerry Garcia\1975\jg1975-04-05.138217.lom.early.aud.unknown.andrewf.flac16\lom1975-04-05t01.flac|Jon Scher intro
D:\Jerry Garcia\1975\jg1975-04-05.138217.lom.early.aud.unknown.andrewf.flac16\lom1975-04-05t02.flac|Tore Up Over You
D:\Jerry Garcia\1975\jg1975-04-05.138217.lom.early.aud.unknown.andrewf.flac16\lom1975-04-05t03.flac|Creepin' (instrumental)
D:\Jerry Garcia\1975\jg1975-04-05.138217.lom.early.aud.unknown.andrewf.flac16\lom1975-04-05t04.flac|I Feel Like Dynamite
D:\Jerry Garcia\1975\jg1975-04-05.138217.lom.early.aud.unknown.andrewf.flac16\lom1975-04-05t05.flac|Mystery Train
D:\Jerry Garcia\1975\jg1975-04-05.138217.lom.early.aud.unknown.andrewf.flac16\lom1975-04-05t06.flac|Every Word You Say
D:\Jerry Garcia\1975\jg1975-04-05.138217.lom.early.aud.unknown.andrewf.flac16\lom1975-04-05t07.flac|Mississippi Moon
D:\Jerry Garcia\1975\jg1975-04-05.138217.lom.early.aud.unknown.andrewf.flac16\lom1975-04-05t08.flac|I Second that Emotion
