D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t03.flac|Fair Chance to Know
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t04.flac|Truck Drivin' Man
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t05.flac|Portland Woman
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t06.flac|Watcha Gonna Do
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t07.flac|Glendale Train
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t08.flac|All I Ever Wanted
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t09.flac|Runnin' Back to You
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t10.flac|Lodi
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t11.flac|Connection
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t12.flac|Last Lonely Eagle
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t13.flac|Louisiana Lady
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t14.flac|Honky Tonk Woman
D:\Jerry Garcia\1971\jg1971-02-21.123760.nrps.aud.cooper.berger.sbeok.t-flac16\nrps1971-02-21d1t15.flac|crowd
D:\Jerry Garcia\1971\jg1971-02-27.096462.nrps.sbd.berger.sbeok.t-flac16\nrps1971-02-27d1t01.flac|Brown Eyed Handsome Man
D:\Jerry Garcia\1971\jg1971-02-27.096462.nrps.sbd.berger.sbeok.t-flac16\nrps1971-02-27d1t02.flac|I Don't Know You
D:\Jerry Garcia\1971\jg1971-02-27.096462.nrps.sbd.berger.sbeok.t-flac16\nrps1971-02-27d1t03.flac|Cecilia
D:\Jerry Garcia\1971\jg1971-02-27.096462.nrps.sbd.berger.sbeok.t-flac16\nrps1971-02-27d1t04.flac|Superman
D:\Jerry Garcia\1971\jg1971-02-27.096462.nrps.sbd.berger.sbeok.t-flac16\nrps1971-02-27d1t05.flac|Glendale Train
D:\Jerry Garcia\1971\jg1971-02-27.096462.nrps.sbd.berger.sbeok.t-flac16\nrps1971-02-27d1t06.flac|Runnin' Back to You
D:\Jerry Garcia\1971\jg1971-02-27.096462.nrps.sbd.berger.sbeok.t-flac16\nrps1971-02-27d1t07.flac|Henry
